/* TID|System Type|Slot|Port|Name|ing_packets|ing_bytes|ing_rate(Kbps)|egr_packets|egr_bytes|egr_rate(Kbps)|Date */
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_18_3)-(T1-L1)|281737|29756566|264|4900|585726|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_18_3_P)-(T1-L2)|214010|21122304|531|4|5|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_18)-(T2-L1)|295221|29185762|275|3|0|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_18_P)-(T2-L2)|295305|30999645|411|2|0|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_20)-(T3-L1)|295244|30996315|423|0|1|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_20_P)-(T3-L2)|295506|31010250|222|0|0|10|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_24_lan)-(T5-L1)|291106|30996630|125|0|11|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_24_lan_P)-(T5-L2)|292256|31005000|754|12|0|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_42_lan)-(T3-L1)|279980|22009930|129|0|10|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_42_lan_P)-(T3-L2)|274159|11000230|446|20|0|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_46)-(T18-L1)|293230|23330092|127|0|30|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_46_P)-(T18-L2)|297632|19375723|126|0|50|20|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_48)-(T19-L1)|295108|29395553|955|0|11|22|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_48_P)-(T19-L2)|295258|31116640|277|29|0|3|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P14|(TN_SMSEO_TEST)-(T25-L1)|295936|30999780|275|0|0|0|2019-09-28 11:15:00
2nd_SKB_BunDang_TTA|APN20A|SXC|P13|(TN_SMSEO_TEST_P)-(T25-L2)|295869|31006365|275|0|0|0|2019-09-28 11:15:00
2nd_PanKyo_ChangJo_Vally|APN200|S02|P1|(TN_1_PanKyo_ChangJo_Vally_TTA_PanKyo_ChangJo_Vally_16_1)-(T1-L1)|304352|32184326|286|11188|1293386|11|2019-09-28 11:15:00
